일자,종목코드,종목명,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률
2019/07/12,051490,나라엠앤디,-,"4,290",267,16.07,"5,539",0.77,70,1.63
2019/07/12,052220,iMBC,-,"2,455",-,-,"2,180",1.13,0,0
2019/07/12,052260,SK바이오랜드,-,"15,300","1,003",15.25,"9,927",1.54,300,1.96
2019/07/12,052300,W홀딩컴퍼니,-,413,-,-,551,0.75,0,0
2019/07/12,052330,코텍,-,"13,700","2,357",5.81,"18,607",0.74,400,2.92
2019/07/12,052400,코나아이,-,"19,350",-,-,"5,892",3.28,0,0
2019/07/12,052460,아이크래프트,-,"3,025",-,-,"2,266",1.33,0,0
2019/07/12,052600,한네트,-,"3,265",95,34.37,"3,098",1.05,100,3.06
2019/07/12,052670,제일바이오,-,"4,120",76,54.21,"1,979",2.08,0,0
2019/07/12,052710,아모텍,-,"20,650",730,28.29,"20,260",1.02,0,0
2019/07/12,052790,액토즈소프트,-,"14,200",-,-,"8,137",1.75,0,0
2019/07/12,053060,세동,-,843,-,-,"1,015",0.83,0,0
2019/07/12,053160,프리엠스,-,"6,160",436,14.13,"7,561",0.81,50,0.81
2019/07/12,053260,금강철강,-,"3,520",313,11.25,"5,847",0.6,100,2.84
2019/07/12,053270,구영테크,-,"1,670",296,5.64,"2,577",0.65,30,1.8
2019/07/12,053300,한국정보인증,-,"3,720",252,14.76,"2,565",1.45,80,2.15
2019/07/12,053350,이니텍,-,"5,150",-,-,"6,261",0.82,20,0.39
2019/07/12,053620,태양,-,"9,400",231,40.69,"17,649",0.53,100,1.06
2019/07/12,053980,오상자이엘,-,"7,990",-,-,"2,788",2.87,0,0
2019/07/12,054050,농우바이오,-,"11,450","1,850",6.19,"14,207",0.81,350,3.06
2019/07/12,054090,삼진엘앤디,-,"2,275",75,30.33,"3,676",0.62,75,3.3
2019/07/12,054410,케이피티유,-,"4,675",447,10.46,"6,357",0.74,50,1.07
2019/07/12,054450,텔레칩스,-,"12,150",746,16.29,"7,182",1.69,120,0.99
2019/07/12,054540,삼영엠텍,-,"3,500",109,32.11,"5,802",0.6,60,1.71
2019/07/12,054620,APS홀딩스,-,"7,190",64,112.34,"11,083",0.65,0,0
2019/07/12,054670,대한뉴팜,-,"11,450",174,65.8,"3,001",3.82,0,0
2019/07/12,054950,제이브이엠,-,"38,750","1,353",28.64,"19,455",1.99,350,0.9
2019/07/12,056000,신스타임즈,-,"2,540",-,-,"1,442",1.76,0,0
2019/07/12,056080,유진로봇,-,"3,370",-,-,"1,867",1.81,0,0
2019/07/12,056090,유앤아이,-,"8,350",-,-,"5,063",1.65,0,0
2019/07/12,056360,코위버,-,"8,550",663,12.9,"10,171",0.84,150,1.75
2019/07/12,057540,옴니시스템,-,"2,055",78,26.35,"1,855",1.11,0,0
2019/07/12,058110,멕아이씨에스,-,"4,390",-,-,947,4.64,0,0
2019/07/12,058450,일야,-,"1,425",-,-,873,1.63,0,0
2019/07/12,058610,에스피지,-,"8,040",388,20.72,"6,025",1.33,100,1.24
2019/07/12,058630,엠게임,-,"4,230",139,30.43,"1,659",2.55,0,0
2019/07/12,059100,아이컴포넌트,-,"7,090",-,-,"4,248",1.67,0,0
2019/07/12,059120,아진엑스텍,-,"8,490",647,13.12,"6,246",1.36,200,2.36
2019/07/12,059210,메타바이오메드,-,"2,615",-,-,"2,094",1.25,10,0.38
2019/07/12,060260,뉴보텍,-,"1,575",26,60.58,753,2.09,0,0
2019/07/12,060280,큐렉소,-,"6,850",-,-,"2,099",3.26,0,0
2019/07/12,060370,KT서브마린,-,"3,510",-,-,"4,712",0.74,30,0.85
2019/07/12,060380,동양에스텍,-,"3,045",-,-,"5,092",0.6,100,3.28
2019/07/12,060540,에스에이티,-,"2,165",245,8.84,"2,937",0.74,50,2.31
2019/07/12,060590,씨티씨바이오,-,"6,530",-,-,"4,499",1.45,0,0
2019/07/12,061250,화일약품,-,"6,320",375,16.85,"7,026",0.9,150,2.37
2019/07/12,061970,엘비세미콘,-,"11,550",349,33.09,"2,663",4.34,0,0
2019/07/12,063170,서울옥션,-,"7,540",463,16.29,"4,484",1.68,100,1.33
2019/07/12,064240,홈캐스트,-,"5,050",-,-,"2,362",2.14,0,0
2019/07/12,064290,인텍플러스,-,"5,830",-,-,"1,311",4.45,0,0
2019/07/12,064480,브리지텍,-,"3,280",173,18.96,"3,300",0.99,100,3.05
2019/07/12,064510,에코마이스터,-,"5,730",-,-,"1,421",4.03,0,0
2019/07/12,064820,케이프,-,"2,150",97,22.16,"5,620",0.38,0,0
2019/07/12,065060,지엔코,-,"1,315",-,-,"1,178",1.12,0,0
2019/07/12,065130,탑엔지니어링,-,"9,820","1,169",8.4,"10,788",0.91,100,1.02
2019/07/12,065440,이루온,-,"1,535",52,29.52,"1,250",1.23,0,0
2019/07/12,065450,빅텍,-,"2,855",35,81.57,"1,459",1.96,30,1.05
2019/07/12,065510,휴비츠,-,"9,680",611,15.84,"7,061",1.37,150,1.55
2019/07/12,065570,삼영이엔씨,-,"5,440",31,175.48,"9,453",0.58,0,0
2019/07/12,065650,메디프론,-,"5,250",-,-,652,8.05,0,0
2019/07/12,065680,우주일렉트로,-,"8,980",77,116.62,"18,162",0.49,150,1.67
2019/07/12,065770,CS,-,"3,250",218,14.91,"1,197",2.72,0,0
2019/07/12,066310,큐에스아이,-,"9,350",-,-,"6,219",1.5,20,0.21
2019/07/12,066620,국보디자인,-,"15,100","1,862",8.11,"14,480",1.04,280,1.85
2019/07/12,066670,디스플레이텍,-,"4,040",170,23.76,"7,974",0.51,100,2.48
2019/07/12,066790,씨씨에스,관리종목,423,-,-,285,1.48,0,0
2019/07/12,066900,디에이피,-,"3,200",403,7.94,"4,522",0.71,0,0
2019/07/12,066910,손오공,-,"2,320",51,45.49,923,2.51,0,0
2019/07/12,066980,브레인콘텐츠,-,842,-,-,640,1.32,0,0
2019/07/12,067000,조이시티,-,"8,900",-,-,"2,257",3.94,0,0
2019/07/12,067170,오텍,-,"12,350",995,12.41,"9,029",1.37,100,0.81
2019/07/12,067280,멀티캠퍼스,-,"47,400","2,946",16.09,"16,056",2.95,500,1.05
2019/07/12,067570,엔브이에이치코리아,-,"2,810",-,-,"4,626",0.61,100,3.56
2019/07/12,067730,로지시스,-,"3,015",79,38.16,"1,796",1.68,100,3.32
2019/07/12,067770,세진티에스,-,"2,810",-,-,"4,680",0.6,0,0
2019/07/12,067900,와이엔텍,-,"8,060",496,16.25,"6,406",1.26,0,0
2019/07/12,067920,이글루시큐리티,-,"4,495",862,5.21,"4,390",1.02,140,3.11
2019/07/12,068050,팬엔터테인먼트,-,"4,050",-,-,"3,380",1.2,0,0
2019/07/12,068330,일신바이오,-,"1,780",72,24.72,808,2.2,5,0.28
2019/07/12,068790,DMS,-,"5,300",662,8.01,"6,576",0.81,100,1.89
2019/07/12,068940,아이씨케이,-,"2,100",-,-,448,4.69,0,0
2019/07/12,069410,엔텔스,-,"15,200",343,44.31,"5,896",2.58,0,0
2019/07/12,069510,에스텍,-,"12,650","2,373",5.33,"12,738",0.99,500,3.95
2019/07/12,069920,아이에스이커머스,-,"3,975",-,-,"2,446",1.63,0,0
2019/07/12,070300,한솔시큐어,-,"5,200",-,-,"2,980",1.74,0,0
2019/07/12,071200,인피니트헬스케어,-,"6,080",202,30.1,"3,168",1.92,0,0
2019/07/12,071280,로체시스템즈,-,"4,190",-,-,"4,221",0.99,0,0
2019/07/12,071670,에이테크솔루션,-,"8,830",59,149.66,"6,799",1.3,0,0
2019/07/12,071850,캐스텍코리아,-,"3,240",70,46.29,"7,597",0.43,20,0.62
2019/07/12,072020,중앙백신,-,"20,400",371,54.99,"8,535",2.39,50,0.25
2019/07/12,072770,네오디안테크놀로지,-,"1,780",-,-,698,2.55,0,0
2019/07/12,072870,메가스터디,-,"10,750","1,915",5.61,"21,697",0.5,400,3.72
2019/07/12,072950,빛샘전자,-,"6,560",297,22.09,"9,107",0.72,50,0.76
2019/07/12,073190,듀오백,-,"2,920",-,-,"2,532",1.15,0,0
2019/07/12,073490,이노와이어리스,-,"27,600",36,766.67,"11,179",2.47,0,0
2019/07/12,073560,우리손에프앤지,-,"2,245",391,5.74,"2,602",0.86,25,1.11
2019/07/12,074430,아미노로직스,-,"1,935",91,21.26,606,3.19,0,0
2019/07/12,077360,덕산하이메탈,-,"5,600",609,9.2,"8,535",0.66,0,0
2019/07/12,078070,유비쿼스홀딩스,-,"38,950",578,67.39,"10,481",3.72,150,0.39
2019/07/12,078150,HB테크놀러지,-,"3,190",88,36.25,"1,960",1.63,20,0.63
2019/07/12,078350,한양디지텍,-,"4,490",97,46.29,"4,061",1.11,0,0
2019/07/12,078860,아이오케이,-,"1,850",-,-,"2,228",0.83,0,0
2019/07/12,079000,와토스코리아,-,"5,680",403,14.09,"10,222",0.56,200,3.52
2019/07/12,079170,한창산업,-,"5,890",274,21.5,"10,108",0.58,120,2.04
2019/07/12,079370,제우스,-,"12,500","2,990",4.18,"20,224",0.62,300,2.4
2019/07/12,079650,서산,-,"3,290",-,-,"3,671",0.9,13,0.4
2019/07/12,079940,가비아,-,"8,670",576,15.05,"4,640",1.87,30,0.35
2019/07/12,079960,동양이엔피,-,"11,600",638,18.18,"24,537",0.47,300,2.59
2019/07/12,080000,에스엔유,-,"2,550",303,8.42,"3,139",0.81,0,0
2019/07/12,080010,이상네트웍스,-,"7,970",776,10.27,"9,420",0.85,0,0
2019/07/12,080580,오킨스전자,-,"3,730",19,196.32,"3,775",0.99,0,0
2019/07/12,080720,한국유니온제약,-,"15,250","1,181",12.91,"9,792",1.56,0,0
2019/07/12,081150,티플랙스,-,"2,655",87,30.52,"3,452",0.77,20,0.75
2019/07/12,081580,성우전자,-,"3,465",549,6.31,"7,096",0.49,80,2.31
2019/07/12,082210,옵트론텍,-,"6,530",161,40.56,"4,308",1.52,30,0.46
2019/07/12,083310,엘오티베큠,-,"7,930","1,266",6.26,"9,165",0.87,30,0.38
2019/07/12,083450,GST,-,"6,090","1,080",5.64,"8,694",0.7,0,0
2019/07/12,083650,비에이치아이,-,"2,580",-,-,"3,230",0.8,0,0
2019/07/12,083930,아바코,-,"6,350","1,719",3.69,"7,453",0.85,200,3.15
2019/07/12,084650,랩지노믹스,-,"6,120",-,-,"2,966",2.06,0,0
2019/07/12,084730,팅크웨어,-,"8,010",260,30.81,"13,940",0.57,0,0
2019/07/12,085670,뉴프렉스,-,"2,345",343,6.84,"2,829",0.83,60,2.56
2019/07/12,085810,알티캐스트,-,"2,345",-,-,"4,065",0.58,0,0
2019/07/12,085910,네오티스,-,"4,065",292,13.92,"3,969",1.02,250,6.15
2019/07/12,086390,유니테스트,-,"12,200","2,585",4.72,"6,640",1.84,400,3.28
2019/07/12,086670,비엠티,-,"8,150",861,9.47,"8,274",0.99,150,1.84
2019/07/12,086890,이수앱지스,-,"6,400",-,-,"2,244",2.85,0,0
2019/07/12,086960,한컴MDS,-,"13,300",733,18.14,"12,218",1.09,250,1.88
2019/07/12,086980,쇼박스,-,"3,670",70,52.43,"2,248",1.63,50,1.36
2019/07/12,087600,픽셀플러스,-,"6,050",-,-,"10,435",0.58,100,1.65
2019/07/12,088390,이녹스,-,"6,480",-,-,"14,172",0.46,0,0
2019/07/12,088910,동우팜투테이블,-,"4,200",705,5.96,"7,301",0.58,50,1.19
2019/07/12,089140,넥스턴,-,"9,980",519,19.23,"8,063",1.24,100,1
2019/07/12,089150,케이씨티,-,"2,480",72,34.44,"2,282",1.09,120,4.84
2019/07/12,089850,유비벨록스,-,"7,350",236,31.14,"9,245",0.8,0,0
2019/07/12,089970,에이피티씨,-,"6,600",799,8.26,"2,299",2.87,200,3.03
2019/07/12,090150,광진윈텍,-,"3,160",-,-,"3,597",0.88,50,1.58
2019/07/12,090410,덕신하우징,-,"1,645",223,7.38,"1,800",0.91,30,1.82
2019/07/12,091340,S&K폴리텍,-,"5,000",716,6.98,"6,289",0.8,0,0
2019/07/12,091440,텔레필드,-,"3,235",-,-,"2,447",1.32,0,0
2019/07/12,092070,디엔에프,-,"7,720","1,363",5.66,"8,369",0.92,200,2.59
2019/07/12,092130,이크레더블,-,"18,350","1,040",17.64,"3,996",4.59,670,3.65
2019/07/12,092870,엑시콘,-,"6,120",421,14.54,"7,893",0.78,100,1.63
2019/07/12,093190,빅솔론,-,"5,850",809,7.23,"7,576",0.77,180,3.08
2019/07/12,093320,케이아이엔엑스,-,"37,700","2,681",14.06,"13,964",2.7,400,1.06
2019/07/12,093520,매커스,-,"4,425",689,6.42,"3,231",1.37,120,2.71
2019/07/12,093920,서원인텍,-,"5,670",260,21.81,"8,229",0.69,300,5.29
2019/07/12,094480,갤럭시아컴즈,-,"3,700",133,27.82,"2,146",1.72,35,0.95
2019/07/12,094820,일진파워,-,"6,150","1,076",5.72,"5,927",1.04,330,5.37
2019/07/12,094840,슈프리마에이치큐,-,"7,220",703,10.27,"12,424",0.58,0,0
2019/07/12,094850,참좋은여행,-,"6,980",744,9.38,"5,945",1.17,170,2.44
2019/07/12,094940,푸른기술,-,"13,400",225,59.56,"4,015",3.34,30,0.22
2019/07/12,094970,제이엠티,-,"2,685",642,4.18,"3,282",0.82,100,3.72
2019/07/12,095270,웨이브일렉트로,-,"29,150",-,-,"3,950",7.38,0,0
2019/07/12,095500,미래나노텍,-,"3,640",295,12.34,"6,203",0.59,0,0
2019/07/12,095910,에스에너지,-,"4,345",-,-,"7,873",0.55,50,1.15
2019/07/12,096040,이트론,-,235,-,-,186,1.26,0,0
2019/07/12,096610,알에프세미,-,"7,540",29,260,"6,492",1.16,28,0.37
2019/07/12,096630,에스코넥,-,"1,695",173,9.8,"1,470",1.15,0,0
2019/07/12,096870,엘디티,-,"3,100",64,48.44,"1,689",1.84,0,0
2019/07/12,097800,윈팩,-,"1,710",43,39.77,"1,030",1.66,0,0
